CRIM_Person_ID,CESR_Person_ID,Surname,Name,Birth Date,Death Date,Active Dates,Alternate Name
CRIM_Person_0001,,Colin,Pierre,15xx,15xx,1538–1572,
CRIM_Person_0002,,Du Chemin,Nicolas,1515?,1576,,
CRIM_Person_0003,,Sohier,Mathieu,15xx,c. 1560,1540s,
CRIM_Person_0004,,Lupi,Johannes,1506?,1539,1530s,
CRIM_Person_0005,,Attaignant,Pierre,1494?,1552?,,
CRIM_Person_0006,,Gardane,Antonio,1509,1569,,
CRIM_Person_0007,,Moderne,Jacques,149x?,156x,,
CRIM_Person_0008,,Schoeffer,Peter,1425?,1502?,,
CRIM_Person_0009,,De Marle,Nicolas,15xx,15xx,,
CRIM_Person_0010,,Champion,Thomas,15xx,1580?,,Mithou
CRIM_Person_0011,,Clereau,Pierre,15xx,156x,,
CRIM_Person_0012,,Anonymous,,,,,
CRIM_Person_0013,,Billecocq,Marie-Claire,19xx,,,
CRIM_Person_0014,,Fischer,Rupert,1939,,,
CRIM_Person_0015,,Févin (de),Antoine,1470?,1511?,,
CRIM_Person_0016,,Lebloitte,Josquin,1440?,1521?,,Josquin Des Prés
CRIM_Person_0017,,Petrucci,Ottaviano,1466,1539,,
CRIM_Person_0018,,Guyon,Jean,1514?,1574?,,
CRIM_Person_0019,,Cadéac,Pierre,15xx,15xx,,
CRIM_Person_0020,,Gombert,Nicolas,1495?,1560?,,
CRIM_Person_0021,,Sermisy (de),Claudin,1490?,1562,,
CRIM_Person_0022,,Jullet,Hubert,15xx,1545?,,
CRIM_Person_0023,,Sandrin,Pierre,1490?,1561?,,
CRIM_Person_0024,,Daulphin,Pierre,15xx,15xx,,
CRIM_Person_0025,,Passereau,Pierre,14xx,15xx,,
CRIM_Person_0026,,Phinot,Dominique,1510?,1556?,,
CRIM_Person_0027,,Petreius,Johann,1497?,1550,,
CRIM_Person_0028,,Manchicourt (de),Pierre,1510?,1564,,
CRIM_Person_0029,,Susato,Tielman,1500?,1564?,,
CRIM_Person_0030,,Wagenrieder,Lucas,?,1538,,
CRIM_Person_0031,,Palestrina (da),Giovanni Pierluigi,1525?,1594,,Giannetto
CRIM_Person_0032,,Steidl,Peter,15xx,15xx,,
CRIM_Person_0033,,Pollet,Jean,15xx,15xx,,
CRIM_Person_0034,,Formschneider,Hieronymus,1485,1556?,,
CRIM_Person_0035,,Willaert,Adrian,1490?,1562,,
CRIM_Person_0036,,Forestier,Mathurin,1470?,153x?,,
CRIM_Person_0037,,Morales,Cristóbal de,1500?,1553,,
CRIM_Person_0038,,Dorico,Valerio,14xx?,15xx,,
CRIM_Person_0039,,Dorico,Luigi,14xx?,15xx,,
CRIM_Person_0040,,Scotto,Melchiorre,15xx?,1610?,,
CRIM_Person_0041,,Lassus,Roalnd de,1532,1594,,
CRIM_Person_0042,,Phalèse,Pierre,1510,1575,,
