CRIM_Model_ID,Person_ID,ComposerName,Title,Genre of Model,Source_ID,Editor Person ID,Editor,Date,Reviewed,OtherSources, Related Works (CRIM_Mass_ID),Notes,Voices,MEI links,PDF links
CRIM_Model_0001,CRIM_Person_0004,"Lupi, Johannes",Vidi speciosam,Motet,CRIM_Source_0003,CRIM_Person_0044,Bonnie Blackburn,2015-06-02,,CRIM_Source_0004 | CRIM_Source_0005 | CRIM_Source_0006 | CRIM_Source_0007 | CRIM_Source_0008,CRIM_Mass_0002,Edition revised by Marco Gurrieri 2015-07-23,Superius | Contratenor | PrimusTenor | SecundusTenor | Bassus,http://92.154.49.37/CRIM/files/original/e9937cb1dcf2bc349852dba567393e0a.mei,
CRIM_Model_0002,CRIM_Person_0010,"Champion, Thomas",O gente brunette,Chanson,CRIM_Source_0010,CRIM_Person_0045,Marco Gurrieri,2015-06-02,,,CRIM_Mass_0003,Edition revised by Marco Gurrieri 2015-07-23,Superius | Contratenor | Tenor | Bassus,http://92.154.49.37/CRIM/files/original/8c82de7d89635ff85cdf8f547b1eb44e.mei,http://92.154.49.37/CRIM/files/original/0ba04a14e7704ce08b82be72949804e5.pdf | http://92.154.49.37/CRIM/files/original/9bbf3e2bbb3230b2474382909825fb8b.pdf
CRIM_Model_0003,CRIM_Person_0012,Anonymous,IX - In solemnitatibus et festis B.M.V. (Cum iubilo) - Kyrie,Ordinarium missae,CRIM_Source_0012,CRIM_Person_0043,Marco Gurrieri,2015-07-30,,,CRIM_Mass_0004,,-,http://92.154.49.37/CRIM/files/original/2665e1a34fe3a29877b492112ca72551.mei,http://92.154.49.37/CRIM/files/original/02c52a020b3ff6f3d85867fb8329d1e7.pdf
CRIM_Model_0004,CRIM_Person_0012,Anonymous,IX - In solemnitatibus et festis B.M.V. (Cum iubilo) - Gloria,Ordinarium missae,CRIM_Source_0013,CRIM_Person_0043,Marco Gurrieri,2015-08-05,,,CRIM_Mass_0004,,,http://92.154.49.37/CRIM/files/original/3451f0235054a756c1f4e8c5674f6e7d.mei,http://92.154.49.37/CRIM/files/original/0e90da2bbfd4b5c295bf3df4d14ac173.pdf
CRIM_Model_0005,CRIM_Person_0012,Anonymous,Credo I,Ordinarium missae,CRIM_Source_0014,CRIM_Person_0043,Marco Gurrieri,2015-08-05,,,CRIM_Mass_0004,,,http://92.154.49.37/CRIM/files/original/4a24ccb45a7e9275f9bb4eb980dbb000.mei,http://92.154.49.37/CRIM/files/original/0de58cd741c25275499ba0f505f62731.pdf
CRIM_Model_0006,CRIM_Person_0012,Anonymous,IX - In solemnitatibus et festis B.M.V. (Cum iubilo) - Sanctus,Ordinarium missae,CRIM_Source_0015,CRIM_Person_0043,Marco Gurrieri,2015-08-04,,,CRIM_Mass_0004,,,http://92.154.49.37/CRIM/files/original/8299f01ad2aa1c2871c2cd614074dbf3.mei,http://92.154.49.37/CRIM/files/original/bbf81ab18530c2f7941bacd644bf1470.pdf
CRIM_Model_0007,CRIM_Person_0012,Anonymous,IX - In solemnitatibus et festis B.M.V. (Cum iubilo) - Agnus Dei,Ordinarium missae,CRIM_Source_0016,CRIM_Person_0043,Marco Gurrieri,2015-08-04,,,CRIM_Mass_0004,,,http://92.154.49.37/CRIM/files/original/a1bb3de28bcbb5830319ed3a3f01ae6a.mei,http://92.154.49.37/CRIM/files/original/ff0673bee5c51bc921d442876955a91d.pdf
CRIM_Model_0008,CRIM_Person_0016,Josquin Des Prés,Ave Maria,Motet,CRIM_Source_0018,CRIM_Person_0043,Marco Gurrieri,2015-09-04,,,CRIM_Mass_0005,,[Superius] | Altus | Tenor | Bassus,http://92.154.49.37/CRIM/files/original/78a288aa8141dc2953ee850ee379d7dd.mei,http://92.154.49.37/CRIM/files/original/417f67294171a28364c204528fee7568.pdf
CRIM_Model_0009,CRIM_Person_0019,"Cadéac, Pierre",Je suis déshéritée,Chanson,CRIM_Source_0020,CRIM_Person_0043,Marco Gurrieri,2015-09-18,,,CRIM_Mass_0006 | CRIM_Mass_0007,,Superius | Contratenor | Tenor | Bassus,http://92.154.49.37/CRIM/files/original/6b8fdf8ba21f385bf2e3cd4725a1cf9f.mei,
CRIM_Model_0010,CRIM_Person_0021,"Sermisy, Claudin de",Quare fremuerunt gentes,Motet,CRIM_Source_0023,CRIM_Person_0043,Marco Gurrieri,2015-11-16,,,CRIM_Mass_0008,,Superius | Contratenor | Primus Tenor | Secundus Tenor | [Bassus],http://92.154.49.37/CRIM/files/original/e43fdbfa635aac6d653dd21c0a51cc76.mei,http://92.154.49.37/CRIM/files/original/d80c042725ab0498564926ee21144782.pdf
CRIM_Model_0011,CRIM_Person_0021,"Sermisy, Claudin de",Tota pulchra es,Motet,CRIM_Source_0025,CRIM_Person_0043,Marco Gurrieri,2015-11-29,,,CRIM_Mass_0009,,Superius | Contratenor | Tenor | Bassus,http://92.154.49.37/CRIM/files/original/90375cb1ddfe9cf8ba7d7e866f9a0611.mei,http://92.154.49.37/CRIM/files/original/cc27acb30d02c6162407a11045e85aa4.pdf
CRIM_Model_0012,CRIM_Person_0023,"Sandrin, Pierre",Voulant honneur,Chanson,CRIM_Source_0027,CRIM_Person_0043,Marco Gurrieri,2015-12-16,,,CRIM_Mass_0010,,,http://92.154.49.37/CRIM/files/original/b81e93fba20eeee757c11be63d651a95.mei,http://92.154.49.37/CRIM/files/original/1b2c8a30c50be418d261c62e9d1bfea0.pdf
CRIM_Model_0013,CRIM_Person_0025,"Passereau, Pierre",Je n’en puis plus durer,Chanson,CRIM_Source_0029,CRIM_Person_0043,Marco Gurrieri,2015-12-26,,,CRIM_Mass_0011,,,http://92.154.49.37/CRIM/files/original/8f713a7ab2f3d9d5b0c2a439d96e05b7.mei,http://92.154.49.37/CRIM/files/original/bdb9cf6bbebc893e77b652a72f51b68f.pdf
CRIM_Model_0014,CRIM_Person_0021,"Sermisy, Claudin de",Si bona suscepimus,Motet,CRIM_Source_0031,CRIM_Person_0043,Marco Gurrieri,2016-01-05,,,CRIM_Mass_0012,,,http://92.154.49.37/CRIM/files/original/e0bd90d0802a546e0c47fd66121ce36a.mei,http://92.154.49.37/CRIM/files/original/491fb54d465c3509e8d8faf496757c14.pdf | http://92.154.49.37/CRIM/files/original/94c085718f0f17714de3bf76aed52e2e.pdf
CRIM_Model_0015,CRIM_Person_0028,"Manchicourt, Pierre de",Quo abiit dilectus tuus,Motet,CRIM_Source_0033,CRIM_Person_0043,Marco Gurrieri,2016-02-01,,,CRIM_Mass_0013,,,http://92.154.49.37/CRIM/files/original/9684b93e8f954b7eb2fe5b3ba1bab6f5.mei,http://92.154.49.37/CRIM/files/original/b74a90f6c7f292c8e2d69add45f15421.pdf
CRIM_Model_0016,CRIM_Person_0016,Josquin Des Prés,Mente Tota (from Vultuum tuum),Motet,CRIM_Source_0034,CRIM_Person_0043,Marco Gurrieri,2016-04-11,,,CRIM_Mass_0014 | CRIM_Mass_0016,,Discantus | Contratenor | Tenor | Bassus,http://92.154.49.37/CRIM/files/original/1552fc4d83c3d312f170933bc41dc2c7.mei,http://92.154.49.37/CRIM/files/original/6ee8b6fe0e76db4c75da2f604200a9fa.pdf
CRIM_Model_0017,CRIM_Person_0016,Josquin Des Prés,Benedicta es,Motet,CRIM_Source_0036,CRIM_Person_0043,Marco Gurrieri,2017-02-05,,,CRIM_Mass_0015 | CRIM_Mass_0017,,[Discantus] | [Contratenor] | [Tenor] | [Quinta Vox] | [Sexta Vox] | [Bassus],http://92.154.49.37/CRIM/files/original/4d6d7ef6c83cc1cf2f11da3cd73b70f0.mei,http://92.154.49.37/CRIM/files/original/1288bd8725ff347dcc1a6a71e7ae3288.pdf
