CRIM_Person_ID,CESR_Person_ID,Surname,Name,Birth Date,Death Date,Active Dates,Alternate Name,Remarks
CRIM_Person_0001,,Colin,Pierre,15xx,15xx,1538–1572,,
CRIM_Person_0002,,Du Chemin,Nicolas,1515?,1576,,,
CRIM_Person_0003,,Sohier,Mathieu,15xx,c. 1560,1540s,,
CRIM_Person_0004,,Lupi,Johannes,1506?,1539,1530s,,
CRIM_Person_0005,,Attaignant,Pierre,1494?,1552?,,,
CRIM_Person_0006,,Gardano,Antonio,1509,1569,,Antoine Gardane,
CRIM_Person_0007,,Moderne,Jacques,149x?,156x,,,
CRIM_Person_0008,,Schoeffer,Peter,1425?,1502?,,,
CRIM_Person_0009,,De Marle,Nicolas,15xx,15xx,,,
CRIM_Person_0010,,Champion,Thomas,15xx,1580?,,Mithou,
CRIM_Person_0011,,Clereau,Pierre,15xx,156x,,,
CRIM_Person_0012,,Anonymous,,,,,,
CRIM_Person_0013,,Billecocq,Marie-Claire,19xx,,,,
CRIM_Person_0014,,Fischer,Rupert,1939,,,,
CRIM_Person_0015,,Févin (de),Antoine,1470?,1511?,,,
CRIM_Person_0016,,Josquin Des Prés,,1440?,1521?,,Josquin Lebloitte,
CRIM_Person_0017,,Petrucci,Ottaviano,1466,1539,,,
CRIM_Person_0018,,Guyon,Jean,1514?,1574?,,,
CRIM_Person_0019,,Cadéac,Pierre,15xx,15xx,,,
CRIM_Person_0020,,Gombert,Nicolas,1495?,1560?,,,
CRIM_Person_0021,,Sermisy (de),Claudin,1490?,1562,,,
CRIM_Person_0022,,Jullet,Hubert,15xx,1545?,,,
CRIM_Person_0023,,Sandrin,Pierre,1490?,1561?,,,
CRIM_Person_0024,,Daulphin,Pierre,15xx,15xx,,,
CRIM_Person_0025,,Passereau,Pierre,14xx,15xx,,,
CRIM_Person_0026,,Phinot,Dominique,1510?,1556?,,,
CRIM_Person_0027,,Petreius,Johann,1497?,1550,,,
CRIM_Person_0028,,Manchicourt (de),Pierre,1510?,1564,,,
CRIM_Person_0029,,Susato,Tielman,1500?,1564?,,,
CRIM_Person_0030,,Wagenrieder,Lucas,?,1538,,,
CRIM_Person_0031,,Palestrina (da),Giovanni Pierluigi,1525?,1594,,Giannetto,
CRIM_Person_0032,,Steidl,Peter,15xx,15xx,,,
CRIM_Person_0033,,Pollet,Jean,15xx,15xx,,,
CRIM_Person_0034,,Formschneider,Hieronymus,1485,1556?,,,
CRIM_Person_0035,,Willaert,Adrian,1490?,1562,,,
CRIM_Person_0036,,Forestier,Mathurin,1470?,153x?,,,
CRIM_Person_0037,,Morales,Cristóbal de,1500?,1553,,,
CRIM_Person_0038,,Dorico,Valerio,14xx?,15xx,,,
CRIM_Person_0039,,Dorico,Luigi,14xx?,15xx,,,
CRIM_Person_0040,,Scotto,Melchiorre,15xx?,1610?,,,
CRIM_Person_0041,,Lassus,Roalnd de,1532,1594,,,
CRIM_Person_0042,,Phalèse,Pierre,1510,1575,,,
CRIM_Person_0043,,Mouton,Jean,1459,1522,,,
CRIM_Person_0044,,Pieton,Loyset,1510?,1560?,,,
CRIM_Person_0045,,Lupi,Didier,c. 1520,after 1559,,,
CRIM_Person_0046,,Beringen,Godefroy,15xx,15xx,,,
CRIM_Person_0047,,Beringen,Marcelin,15xx,1556?,,,
CRIM_Person_0048,,Notker Balbulus,,c. 840,912,,,
CRIM_Person_1001,,Gurrieri,Marco,,,,, 
CRIM_Person_1002,,Blackburn,Bonnie,,,,, 
CRIM_Person_1003,,Fiala,David,,,,,"Maître de conférences, Centre d’études supérieures de la Renaissance, Université de Tours"
CRIM_Person_1004,,Besson,Vincent,,,,,"Ingénieur d’études en sources anciennes du CNRS au Centre d’études supérieures de la Renaissance, Université de Tours"
CRIM_Person_1005,,Viglianti,Raffaele,,,,, 
CRIM_Person_1006,,Bonnec,Damien,,,,,Student
CRIM_Person_1007,,Schubert,Peter,,,,,"Professor, McGill University"
CRIM_Person_1008,,Freedman,Richard,,,,,"Professor of Music, Haverford College"
CRIM_Person_1009,,Ignesti,Alessandra,,,,,Student
CRIM_Person_1010,,Ivarson,Drew,,,,,Student
CRIM_Person_1011,,LeMee,Max,,,,,Student
CRIM_Person_1012,,Lorenz,Ian,,,,,Student
CRIM_Person_1013,,Magro,Agostino,,,,,"Maître de conférences, Université de Rennes, CESR"
CRIM_Person_1014,,Manfredi,,,,,,Student
CRIM_Person_1015,,Nautre,Anne,,,,,Student
CRIM_Person_1016,,Risler,Alexis,,,,,Student
CRIM_Person_1017,,Rouzic,,,,,,Student
CRIM_Person_1018,,Schlagel,Stephanie,,,,,"Associate Professor of Musicology, College-Conservatory of Music, University of Cincinnati"
CRIM_Person_1019,,Troyer,Scott,,,,,Student
CRIM_Person_1020,,Oddie,Jon,,,,,Student
CRIM_Person_1021,,[Super User],,,,,, 
CRIM_Person_1022,,[professor1],,,,,, 
CRIM_Person_1023,,[student1],,,,,, 
CRIM_Person_1024,,[student2],,,,,, 
