CRIM_Source_ID,CESR_Source_ID,Title,Date,Ms,Publisher,Person_ID of Publisher,Copies Used (Location),URL of Facsimile,,,,,
CRIM_Source_0001,,Missa Confitemini,1556,,Du Chemin,CRIM_Person_0002,"F-Pn RESVM1-10 RISM A I, C 3312",http://gallica.bnf.fr/ark:/12148/btv1b90597531,,,,,
CRIM_Source_0002,,Missa Vidi speciosam,1556,,Du Chemin,CRIM_Person_0002,"F-Pn RESVM1-13 RISM A I, S 3839",http://gallica.bnf.fr/ark:/12148/btv1b90597620,,,,,
CRIM_Source_0003,,Musicae Cantiones,1542,,Attaignant,CRIM_Person_0005,"A-Wn SA.78.C.1/1-4 19 RISM A I, L 3089",,,,,,
CRIM_Source_0004,,Mottetti del Fiore,1539,,Gardane,CRIM_Person_0006,"A-Wn SA.76.F.45/1-5 18 RISM B I, 1539/6",,,,,,
CRIM_Source_0005,,Motettorum,1538,,Moderne,CRIM_Person_0007,"A-Wn SA.76.C.1/1-4 18 18 RISM B I, 1538/2",,,,,,
CRIM_Source_0006,,Cantiones,1539,,Schoeffer,CRIM_Person_0008,"I-Bc R.146 RISM B I, 1539/8",,,,,,
CRIM_Source_0007,,,c. 1530-1540,yes,,,D-Usch MS 237/a-d,,,,,,
CRIM_Source_0008,,,1549,yes,,,NL-L MS 1438,,,,,,
CRIM_Source_0009,,Missa O gente brunette,1568,,Du Chemin,CRIM_Person_0002,"F-Pn RESVM1-22 RISM A I, M 711",http://gallica.bnf.fr/ark:/12148/btv1b9059777f,,,,,
CRIM_Source_0010,,Chansons Nouvelles,1548,,Attaignant,CRIM_Person_0005,"D-Mbs 4 Mus.pr. 44783-25/35 RISM B I, 1548/4",,,,,,
CRIM_Source_0011,,Missa Virginis Mariae,1557,,Du Chemin,CRIM_Person_0002,"F-Pn RESVM1-18 RISM A I, C 3187",http://gallica.bnf.fr/ark:/12148/btv1b9059771z,,,,,
CRIM_Source_0012,,IX - In solemnitatibus et festis B. M. V. (Cum iubilo) - Kyrie,1998,,Marie-Claire Billecocq | Rupert Fischer,CRIM_Person_0013 | CRIM_Person_0014,"Graduale triplex, pp. 741-742",,,,,,
