CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0001,CRIM_Mass_0001_1,1,1,10,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_1,2,11,19,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_1,3,20,28,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,1,1,6,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,2,6,8,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,3,7,9,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,4,9,11,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,5,11,14,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,6,14,19,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,7,19,25,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,8,25,31,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,9,30,36,1,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,10,35,40,1,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,11,39,48,1,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,12,47,53,1,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,13,54,57,1,Quoniam tu solus sanctus.,,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,14,58,60,1,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,15,60,64,1,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,16,64,70,1,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_2,17,69,70,1,Amen.,,,,,,,,
,CRIM_Mass_0001,CRIM_Mass_0001_3,1,1,11,1,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
