CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,End of section,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0007,CRIM_Mass_0007_1,1,1,20,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_1,2,21,38,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_1,3,39,65,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,1,1,7,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,2,6,10,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,3,9,14,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,4,11,14,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,5,13,19,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,6,18,28,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,7,26,38,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,8,39,55,2,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,9,53,70,2,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,10,71,79,3,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,11,78,92,3,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,12,91,101,3,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,13,100,102,3,Quoniam tu solus sanctus.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,14,102,104,3,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,15,104,111,3,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,16,112,130,4,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_2,17,128,132,4,Amen.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,1,1,12,1,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
,,,,,,,"Et in unum Dominum Iesum Christum, Filium Dei unigenitum.",,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,3,12,19,1,Et ex Patre natum ante omnia saecula.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,4,17,26,1,"Deum de Deo, lumen de lumine, Deum verum de Deo vero.",,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,5,26,33,1,"Genitum, non factum, consubstantialem Patri:",,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,6,31,35,1,per quem omnia facta sunt.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,7,35,48,1,"Qui propter non homines, et propter nostram salutem descendit de caelis.",,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,8,49,61,2,Et incarnatus est de Spiritu Sancto ex Maria Virgine:,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,9,57,69,2,Et homo factus est.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,10,70,79,3,Crucifixus etiam pro nobis: ,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,11,78,97,3,"sub Pontio Pilato passus, et sepultus est.",,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,12,98,113,4,"Et resurrexit tertia die, secundum Scripturas.",,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,13,111,117,4,Et ascendit in caelum:,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,14,114,123,4,sedet ad dexteram Patris.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,15,124,135,5,"Et iterum venturus est cum gloria, iudicare vivos et mortuos:",,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,16,134,139,5,cuius regni non erit finis.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,17,139,148,5,"Et in Spiritum Sanctum, Dominum, et vivificantem:",,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,18,146,152,5,qui ex Patre Filioque procedit.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,19,150,163,5,"Qui cum Patre et Filio simul adoratur, et conglorificatur: ",,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,20,161,167,5,qui locutus est per Prophetas.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,21,166,173,5,Et unam sanctam catholicam et apostolicam Ecclesiam.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,22,173,184,5,Confiteor unum baptisma in remissionem peccatorum.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,23,183,194,5,Et expecto resurrectionem mortuorum.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,24,193,203,5,Et vitam venturi saeculi.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_3,25,197,204,5,Amen.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_4,1,1,24,1,Sanctus Dominus Deus Sabaoth.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_4,2,25,50,2,Pleni sunt caeli et terra gloria tua.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_4,3,51,79,3,Hosanna in excelsis.,,,,,,,,
,CRIM_Mass_0007,CRIM_Mass_0007_4,4,80,111,4,Benedictus qui venit in nomine Domini.,,,,,,,,
