CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0006,1,1,4,,Sanctus Dominus Deus Sabaoth.,,,,,,,,
CRIM_Model_0006,2,5,6,,Pleni sunt caeli et terra gloria tua.,,,,,,,,
CRIM_Model_0006,3,7,7,,Hosanna in excelsis.,,,,,,,,
CRIM_Model_0006,4,8,9,,Benedictus qui venit in nomine Domini.,,,,,,,,
CRIM_Model_0006,5,10,11,,Hosanna in excelsis.,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
