MEI link,Number of voices,Original voice names,Regularized voice names
http://92.154.49.37/CRIM/files/original/055666e19ab020e13902378ef638c5f0.mei,4,Superius|Contratenor|Tenor|Bassus,Superius|Contratenor|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/da6d1ce377f97dbb1ab1c734c3025ba3.mei,4,Superius|Contratenor|Tenor|Bassus,Superius|Contratenor|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/711308080cd07562b4aeabab2663534b.mei,4,Superius|Contratenor|Tenor|Bassus,Superius|Contratenor|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/5813b93dac855c858e008c679cca350c.mei,4,Superius|Contratenor|Tenor|Bassus,Superius|Contratenor|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/23e1bf64f64c9de4fd074855970658f3.mei,4,Superius|Contratenor|Tenor|Bassus,Superius|Contratenor|Tenor|Bassus
http://92.154.49.37/CRIM/files/original/7ed0710885b124a22e55c0b7c4e7177d.mei,5,~|~|I. Tenor|~|~,Superius|Contratenor|Tenor 1|Tenor 2|Bassus
http://92.154.49.37/CRIM/files/original/ea2e4483952322bfae02245ef838ce84.mei,5,~|~|I. Tenor|~|~,Superius|Contratenor|Tenor 1|Tenor 2|Bassus
http://92.154.49.37/CRIM/files/original/2839e783847fec9e1eb287850cc7806f.mei,5,~|~|I. Tenor|~|~,Superius|Contratenor|Tenor 1|Tenor 2|Bassus
http://92.154.49.37/CRIM/files/original/076954e0cc129d16e521173ba8ed1702.mei,5,~|~|I. Tenor|~|~,Superius|Contratenor|Tenor 1|Tenor 2|Bassus
http://92.154.49.37/CRIM/files/original/13bbb050e5dd5cd701b8db0946e58c87.mei,6,~|~|~|I. Tenor|~|~,Superius|Contratenor|Quintus|Tenor 1|Tenor 2|Bassus
http://92.154.49.37/CRIM/files/original/b685e0cf1de3ac7d9700ce97383c1753.mei,4,~|~|~|~,Superius|Contratenor|Tenor|Bassus
