MEI File,Title,Mass Title,Section Title,Composer,Composer VIAF,Composer BNF ID,Date of Piece,Editor,Date Last Revised,Source_ID,Source Short Title,Source Title,Source Publisher,Publisher VIAF,Publisher BNF ID,Source Date,Source Reference,Source Location,Source Institution,Source Shelfmark ,Rights Statement,Copyright Owner(s)
CRIM_Mass_0001_1.mei,Missa Confitemini: Kyrie,Missa Confitemini,Kyrie,Pierre Colin,https://viaf.org/viaf/195668/,https://data.bnf.fr/ark:/12148/cb13892636z,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,This will be the date we make these updates!,CRIM_Source_0001,"Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita.","Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita. Nunc primum in lucem edita… Autore D. Petro Colin, pueris symphoniacis Ecclesiae Eduensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, C 3312",Paris,Bibliothèque nationale de France,RESVM1-10,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0001_2.mei,Missa Confitemini: Gloria,Missa Confitemini,Gloria,Pierre Colin,https://viaf.org/viaf/195668/,https://data.bnf.fr/ark:/12148/cb13892636z,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0001,"Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita.","Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita. Nunc primum in lucem edita… Autore D. Petro Colin, pueris symphoniacis Ecclesiae Eduensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, C 3312",Paris,Bibliothèque nationale de France,RESVM1-10,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0001_3.mei,Missa Confitemini: Credo,Missa Confitemini,Credo,Pierre Colin,https://viaf.org/viaf/195668/,https://data.bnf.fr/ark:/12148/cb13892636z,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0001,"Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita.","Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita. Nunc primum in lucem edita… Autore D. Petro Colin, pueris symphoniacis Ecclesiae Eduensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, C 3312",Paris,Bibliothèque nationale de France,RESVM1-10,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0001_4.mei,Missa Confitemini: Sanctus,Missa Confitemini,Sanctus,Pierre Colin,https://viaf.org/viaf/195668/,https://data.bnf.fr/ark:/12148/cb13892636z,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0001,"Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita.","Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita. Nunc primum in lucem edita… Autore D. Petro Colin, pueris symphoniacis Ecclesiae Eduensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, C 3312",Paris,Bibliothèque nationale de France,RESVM1-10,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0001_5.mei,Missa Confitemini: Agnus Dei,Missa Confitemini,Agnus Dei,Pierre Colin,https://viaf.org/viaf/195668/,https://data.bnf.fr/ark:/12148/cb13892636z,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0001,"Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita.","Missa cum quatuor vocibus ad imitationem moduli Confitemini, condita. Nunc primum in lucem edita… Autore D. Petro Colin, pueris symphoniacis Ecclesiae Eduensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, C 3312",Paris,Bibliothèque nationale de France,RESVM1-10,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
,,,,,,,,,,,,,,,,,,,,,,
CRIM_Mass_0002_1.mei,Missa Vidi speciosam: Kyrie,Missa Vidi speciosam,Kyrie,Mathieu Sohier,http://viaf.org/viaf/32271712,https://data.bnf.fr/ark:/12148/cb14984519p,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0002,"Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita.","Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita . Nunc primùm in lucem edita. Autore D. Mathaeo Sohier, quondam pueris symphoniacis Ecclesiae Parisiensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, S 3839",Paris,Bibliothèque nationale de France,RES VM1-13,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0002_2.mei,Missa Vidi speciosam: Gloria,Missa Vidi speciosam,Gloria,Mathieu Sohier,http://viaf.org/viaf/32271712,https://data.bnf.fr/ark:/12148/cb14984519p,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0002,"Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita.","Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita . Nunc primùm in lucem edita. Autore D. Mathaeo Sohier, quondam pueris symphoniacis Ecclesiae Parisiensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, S 3839",Paris,Bibliothèque nationale de France,RES VM1-13,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0002_3.mei,Missa Vidi speciosam: Credo,Missa Vidi speciosam,Credo,Mathieu Sohier,http://viaf.org/viaf/32271712,https://data.bnf.fr/ark:/12148/cb14984519p,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0002,"Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita.","Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita . Nunc primùm in lucem edita. Autore D. Mathaeo Sohier, quondam pueris symphoniacis Ecclesiae Parisiensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, S 3839",Paris,Bibliothèque nationale de France,RES VM1-13,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Mass_0002_4.mei,Missa Vidi speciosam: Sanctus,Missa Vidi speciosam,Sanctus,Mathieu Sohier,http://viaf.org/viaf/32271712,https://data.bnf.fr/ark:/12148/cb14984519p,1556,Vincent Besson | Marco Gurrieri | Richard Freedman,,CRIM_Source_0002,"Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita.","Missa cum quinque vocibus, ad imitationem moduli Vidi speciosam, condita . Nunc primùm in lucem edita. Autore D. Mathaeo Sohier, quondam pueris symphoniacis Ecclesiae Parisiensis, praefecto.",Nicolas Du Chemin,http://viaf.org/viaf/9901501,https://data.bnf.fr/ark:/12148/cb12230484c,1556,"RISM A I, S 3839",Paris,Bibliothèque nationale de France,RES VM1-13,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
