CRIM_Model_Mei,Person_ID,ComposerName,Composer VIAF,Composer BNF ID,Title,Piece Date,Genre of Model,Source_ID,Source Short Title,Source Title,Source Publisher 1,Publisher 1 VIAF,Publisher 1 BNF ID,Source Publisher 2,Publisher 2 VIAF,Publisher 2 BNF ID,Source Date,Editor,Date,Source Reference,Source Location,Source Institution,Source Shelfmark,Rights Statement,Copyright Owner(s)
CRIM_Model_0001.mei,CRIM_Person_0004,"Lupi, Johannes",http://viaf.org/viaf/42035469,https://data.bnf.fr/ark:/12148/cb139927263,Veni speciosam,,motet ,CRIM_Source_0003,Musicae Cantiones,"Chori Sacre Virginis Marie Cameracensis Magistri, Musicae Cantiones (quae vulgo motetta nuncupantur) noviter omni studio ac diligentia in lucem editae. (8, 6, 5, et 4 vocum.) Index quindecim Cantionum. Liber tertius.",Pierre Attaingnant,http://viaf.org/viaf/59135590,https://data.bnf.fr/ark:/12148/cb12230232k,,,,1542,Marco Gurrieri | Bonnie Blackburn | Vincent Besson | Richard Freedman,2020_07_10,"RISM A I, L 3089",Wien,Österreichische Nationalbibliothek,SA.78.C.1/3/1-4 Mus 19,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Model_0002.mei,CRIM_Person_0010,"Champion, Thomas",http://viaf.org/viaf/32264545,https://data.bnf.fr/ark:/12148/cb12157175h,O gente brunette,,chanson,CRIM_Source_0010,Vingt-septième livre contenant vingt-sept chansons nouvelles à quatre parties,Vingtseptiesme contenant xxvii. Chansons nouvelles à quatre en deux volumes,Pierre Attaingnant,http://viaf.org/viaf/59135590,https://data.bnf.fr/ark:/12148/cb12230232k,,,,1548,David Fiala | Marco Gurrieri | Vincent Besson | Richard Freedman,2020_07_10,"RISM B I, 1548-04",München,Bayerische Staatsbibliothek,Rar. 900-1/35#27,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Model_0003.mei,CRIM_Person_0012,Anonymous,,,IX - In solemnitatibus et festis B. M. V. (Cum iubilo) - Kyrie,,Ordinarium missae,CRIM_Source_0012,Graduale triplex,"Graduale triplex, seu, Graduale Romanum Pauli PP.VI cura recognitum & rhythmicis signis a Solesmensibus monachis ornatum : neumis Laudunensibus (Cod. 239) et Sangallensibus (Codicum San Gallensis 359 et Einsidlensis 121) nunc auctum",Abbaye Saint-Pierre de Solesmes,,,,,,1998,Marco Gurrieri | Vincent Besson | Richard Freedman,2020_07_10,,,,,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Model_0004.mei,CRIM_Person_0012,Anonymous,,,IX - In solemnitatibus et festis B. M. V. (Cum iubilo) - Gloria,,Ordinarium missae,CRIM_Source_0012,Graduale triplex,"Graduale triplex, seu, Graduale Romanum Pauli PP.VI cura recognitum & rhythmicis signis a Solesmensibus monachis ornatum : neumis Laudunensibus (Cod. 239) et Sangallensibus (Codicum San Gallensis 359 et Einsidlensis 121) nunc auctum",Abbaye Saint-Pierre de Solesmes,,,,,,1998,Marco Gurrieri | Vincent Besson | Richard Freedman,2020_07_10,,,,,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Model_0005.mei,CRIM_Person_0012,Anonymous,,,Credo I,,Ordinarium missae,CRIM_Source_0012,Graduale triplex,"Graduale triplex, seu, Graduale Romanum Pauli PP.VI cura recognitum & rhythmicis signis a Solesmensibus monachis ornatum : neumis Laudunensibus (Cod. 239) et Sangallensibus (Codicum San Gallensis 359 et Einsidlensis 121) nunc auctum",Abbaye Saint-Pierre de Solesmes,,,,,,1998,Marco Gurrieri | Vincent Besson | Richard Freedman,2020_07_10,,,,,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Model_0006.mei,CRIM_Person_0012,Anonymous,,,IX - In solemnitatibus et festis B. M. V. (Cum iubilo) - Sanctus,,Ordinarium missae,CRIM_Source_0012,Graduale triplex,"Graduale triplex, seu, Graduale Romanum Pauli PP.VI cura recognitum & rhythmicis signis a Solesmensibus monachis ornatum : neumis Laudunensibus (Cod. 239) et Sangallensibus (Codicum San Gallensis 359 et Einsidlensis 121) nunc auctum",Abbaye Saint-Pierre de Solesmes,,,,,,1998,Marco Gurrieri | Vincent Besson | Richard Freedman,2020_07_10,,,,,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Model_0007.mei,CRIM_Person_0012,Anonymous,,,IX - In solemnitatibus et festis B. M. V. (Cum iubilo) - Agnus Dei,,Ordinarium missae,CRIM_Source_0012,Graduale triplex,"Graduale triplex, seu, Graduale Romanum Pauli PP.VI cura recognitum & rhythmicis signis a Solesmensibus monachis ornatum : neumis Laudunensibus (Cod. 239) et Sangallensibus (Codicum San Gallensis 359 et Einsidlensis 121) nunc auctum",Abbaye Saint-Pierre de Solesmes,,,,,,1998,Marco Gurrieri | Vincent Besson | Richard Freedman,2020_07_10,,,,,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Model_0008.mei,CRIM_Person_0016,Josquin Des Prés,http://viaf.org/viaf/100226284,https://data.bnf.fr/ark:/12148/cb138957704,Ave Maria,,motet,CRIM_Source_0018,Motetti A,Motetti. A. numero. Trentatre. A,Ottaviano Petrucci,http://viaf.org/viaf/250784303,https://data.bnf.fr/ark:/12148/cb13482403j,,,,1502,Marco Gurrieri | Vincent Besson | Richard Freedman,2020_07_10,"RISM B I, 1502-01",Bologna,Museo internazionale e biblioteca della musica di Bologna,Q.53,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Model_0009.mei,CRIM_Person_0019,"Cadéac, Pierre",http://viaf.org/viaf/38034911,https://data.bnf.fr/ark:/12148/cb14795185g,Je suis déshéritée,,chanson,CRIM_Source_0020,Quart livre contenant vingt-huit chansons nouvelles a quatre parties,"Quart livre contenant xxviii. Chansons nouvelles a quatre parties, en ung volume et en deux",Pierre Attaingnant,http://viaf.org/viaf/59135590,https://data.bnf.fr/ark:/12148/cb12230232k,Hubert Jullet,http://viaf.org/viaf/294873761,https://data.bnf.fr/ark:/12148/cb166569767,1540,Marco Gurrieri | Vincent Besson | Richard Freedman,2020_07_10,"RISM B I, 1540-11",München,Bayerische Staatsbibliothek,Rar. 900-1/35,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
CRIM_Model_0010.mei,CRIM_Person_0021,"Sermisy, Claudin de",http://viaf.org/viaf/89469141,https://data.bnf.fr/ark:/12148/cb13899672h,Quare fremuerunt gentes,,motet,CRIM_Source_0023,Nova et prima motettorum editio… liber primus,Nova & prima motettorum editio… liber primus,Pierre Attaingnant,http://viaf.org/viaf/59135590,https://data.bnf.fr/ark:/12148/cb12230232k,Hubert Jullet,http://viaf.org/viaf/294873761,https://data.bnf.fr/ark:/12148/cb166569767,1542,Marco Gurrieri | Vincent Besson | Richard Freedman,2020_07_10,"RISM A I, S 2818",Wien,Österreichische Nationalbibliothek,SA.78.C.1/1-4 19,This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License,Centre d'Études Supérieures de la Renaissance | Haverford College
